"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/22/2015","MTA","DEBIT PIN PURCHASE MTA VENDING MACHINES   NEW YORK","2.75","debit","Public Transportation","Student Checking","Reimbursable",""
"1/21/2015","Ny Nj Trail","DEBIT PURCHASE NY/NJ TRAIL CONFERENCE 201-512-9","11.55","debit","Travel","Student Checking","",""
"1/06/2015","Panda Express","DEBIT PURCHASE PANDA EXPRESS-BW       EL SEGUND","9.76","debit","Fast Food","Student Checking","",""
"1/02/2015","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","100.03","credit","Transfer","Student Checking","",""
"12/31/2014","USPS","DEBIT PIN PURCHASE USPS 0388970747/2100 E TUCSON","53.02","debit","Shipping","Student Checking","Reimbursable","Packages from Tucson"
"12/29/2014","Boka","DEBIT PURCHASE BOKA                   NEW YORK","36.57","debit","Restaurants","Student Checking","","watermelon soju with Alanna"
"12/29/2014","Boro Mgmt Corp","DEBIT PURCHASE BORO MGMT CORP TAXI    BROOKLYN","35.50","debit","Rental Car & Taxi","Student Checking","",""
"12/26/2014","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","280.00","debit","Transfer","Student Checking","",""
"12/26/2014","UPS","DEBIT PURCHASE THE UPS STORE #5236    BROOKLYN","4.00","debit","Shipping","Student Checking","Paid Back Reimbursable",""
"12/26/2014","UPS","DEBIT PURCHASE THE UPS STORE #5236    BROOKLYN","2.00","debit","Shipping","Student Checking","Paid Back Reimbursable","notarized"
"12/24/2014","Citibank ATM Withdrawal","Citibank ATM Withdrawal","7.00","debit","Transfer for Cash Spending","Student Checking","",""
"12/24/2014","Citibank ATM Withdrawal","Citibank ATM Withdrawal","13.00","debit","Restaurants","Student Checking","Paid Back Reimbursable","burrito"
"12/24/2014","Barnes & Noble","DEBIT PIN PURCHASE BARNESNOBLE 33 East 17tNew York","35.93","debit","Books","Student Checking","Paid Back Reimbursable","books for mom"
"12/24/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","50.00","credit","Transfer","Student Checking","",""
"12/24/2014","Mobile Deposit","MOBILE DEPOSIT","416.65","credit","Income","Student Checking","",""
"12/23/2014","Uniqlo","DEBIT PIN PURCHASE UNIQLO SOHO US0030     NEW YORK","39.90","debit","Clothing","Student Checking","Paid Back Reimbursable","chinos"
"12/23/2014","USPS","DEBIT PIN PURCHASE USPS3508789566/271 CADMBROOKLYN","19.99","debit","Shipping","Student Checking","Paid Back Reimbursable",""
"12/23/2014","REI","DEBIT PIN PURCHASE REI #142 NEW YO 303 LafNEW YORK","97.93","debit","Sporting Goods","Student Checking","Paid Back Reimbursable","sleeping bag Xmas present"
"12/23/2014","Greats","DEBIT PURCHASE SP * GREATS BRAND      323790643","59.00","debit","Clothing","Student Checking","Paid Back Reimbursable","mom owes"
"12/23/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","40.00","credit","Buy","Student Checking","",""
"12/23/2014","ATM Deposit","ATM DEPOSIT","82.00","credit","Income","Student Checking","",""
"12/23/2014","Pin Bridge Apothecary","DEBIT PIN PURCHASE BRIDGE APOTHECARY      BROOKLYN","10.00","debit","Pharmacy","Student Checking","Paid Back Reimbursable",""
"12/23/2014","USPS","DEBIT PIN PURCHASE USPS3508789566/271 CADMBROOKLYN","4.90","debit","Shipping","Student Checking","Paid Back Reimbursable","stamps"
"12/22/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","150.00","debit","Transfer","Student Checking","",""
"12/19/2014","Pin Bridge Apothecary","DEBIT PIN PURCHASE BRIDGE APOTHECARY      BROOKLYN","20.00","debit","Pharmacy","Student Checking","","not paid"
"12/19/2014","Asya Indian Food","DEBIT PURCHASE ASYA INDIAN FOOD       BROOKLYN","47.91","debit","Restaurants","Student Checking","Paid Back Reimbursable","paid"
"12/17/2014","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","300.00","debit","Transfer","Student Checking","",""
"12/17/2014","Mobile Deposit","MOBILE DEPOSIT","89.26","credit","Income","Student Checking","",""
"12/16/2014","Cox Kings Global","DEBIT PURCHASE COX & KINGS GLOBAL SVC NEW YORK","175.10","debit","Travel","Student Checking","Reimbursable Vacation","visa. try to get someone to pay for this?"
"12/16/2014","Gizmo","DEBIT PURCHASE PAYPAL *GIZMO22600     402935773","47.74","debit","Shopping","Student Checking","","swatch watch!"
"12/16/2014","Epicurean Deli","DEBIT PURCHASE EPICUREAN DELI         NEW YORK","5.75","debit","Restaurants","Student Checking","","beer"
"12/16/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","40.00","credit","Buy","Student Checking","",""
"12/15/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","5.00","credit","Income","Student Checking","",""
"12/15/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","30.00","credit","Transfer","Student Checking","",""
"12/12/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","200.00","credit","Transfer","Student Checking","",""
"12/12/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","200.00","credit","Transfer","Student Checking","",""
"12/12/2014","CVS","DEBIT PIN PURCHASE CVS 00601 00601--272 8TNEW YORK","13.05","debit","Pharmacy","Student Checking","Reimbursable Vacation","visa photo!!!"
"12/12/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","20.00","credit","Income","Student Checking","",""
"12/11/2014","Chipotle","DEBIT PURCHASE CHIPOTLE 0590          NEW YORK","9.00","debit","Fast Food","Student Checking","Reimbursable",""
"12/11/2014","ATM Deposit","ATM DEPOSIT","40.00","credit","Income","Student Checking","",""
"12/10/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","50.00","credit","Income","Student Checking","",""
"12/09/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","300.00","debit","Transfer","Student Checking","",""
"12/09/2014","ATM Deposit","ATM DEPOSIT","252.80","credit","Income","Student Checking","",""
"12/09/2014","ATM Deposit","ATM DEPOSIT","60.00","credit","Income","Student Checking","",""
"12/08/2014","ATM Deposit","ATM DEPOSIT","6.00","credit","Income","Student Checking","",""
"12/08/2014","ATM Deposit","ATM DEPOSIT","23.00","credit","Income","Student Checking","",""
"12/05/2014","ATM Deposit","ATM DEPOSIT","70.00","credit","Income","Student Checking","",""
"12/05/2014","ATM Deposit","ATM DEPOSIT","20.00","credit","Income","Student Checking","",""
"12/05/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","399.98","debit","Transfer","Student Checking","",""
"12/04/2014","Shake Shack","DEBIT PURCHASE SHAKE SHACK 1109       BROOKLYN","5.61","debit","Fast Food","Student Checking","Reimbursable","needs to be paid"
"12/03/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","14.70","credit","Income","Student Checking","",""
"12/02/2014","Bodega","DEBIT PIN PURCHASE BROOKLYN FINEST DELI   BROOKLYN","8.00","debit","Fast Food","Student Checking","",""
"12/01/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","100.00","credit","Transfer","Student Checking","",""
"12/01/2014","Barnes & Noble","DEBIT PIN PURCHASE BARNESNOBLE 33 East 17tNew York","41.35","debit","Books","Student Checking","Reimbursable","SAT Prep books"
"11/28/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","31.31","credit","Income","Student Checking","",""
"11/28/2014","Whole Foods","DEBIT PIN PURCHASE WHOLEFDS HOU 102 95 EasNew York","13.59","debit","Groceries","Student Checking","",""
"11/28/2014","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","200.00","debit","Transfer","Student Checking","",""
"11/28/2014","NYU","OTHER DECREASE NYUNIVERSITY     NYU        5973","1000.00","debit","Hide from Budgets & Trends","Student Checking","Reimbursable",""
"11/26/2014","Pedro's","DEBIT PURCHASE PEDRO'S BAR & RESTAURA BROOKLYN","27.95","debit","Restaurants","Student Checking","Reimbursable","paid back"
"11/25/2014","Kellogs Diner","DEBIT PURCHASE KELLOGS DINER          BROOKLYN","38.68","debit","Restaurants","Student Checking","",""
"11/25/2014","Transfer from Day-to-Day Savings","TRANSFER FROM SAVINGS","1000.00","credit","Transfer","Student Checking","",""
"11/25/2014","Citibank ATM Withdrawal","Citibank ATM Withdrawal","20.00","debit","Cash & ATM","Student Checking","",""
"11/25/2014","ATM Deposit","ATM DEPOSIT","40.00","credit","Income","Student Checking","",""
"11/24/2014","Pin Bridge Apothecary","DEBIT PIN PURCHASE BRIDGE APOTHECARY      BROOKLYN","10.00","debit","Pharmacy","Student Checking","Reimbursable","mom needs to pay"
"11/24/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","200.00","debit","Transfer","Student Checking","",""
"11/24/2014","ATM Deposit","ATM DEPOSIT","639.69","credit","Income","Student Checking","",""
"11/24/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","20.00","credit","Income","Student Checking","",""
"11/24/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","20.00","credit","Income","Student Checking","",""
"11/24/2014","Venmo Cashout","ACH Electronic Credit VENMO            CASHOUT","3.00","credit","Income","Student Checking","",""
"11/21/2014","NYU","DEBIT PURCHASE NYU STUDENT PAYMENT    021299828","500.00","debit","Tuition","Student Checking","Reimbursable",""
"11/20/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","200.00","credit","Transfer","Student Checking","",""
"11/19/2014","Bodega","DEBIT PIN PURCHASE BROOKLYN FINEST DELI   BROOKLYN","5.00","debit","Fast Food","Student Checking","",""
"11/19/2014","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","200.00","debit","Transfer","Student Checking","",""
"11/17/2014","Shake Shack","DEBIT PURCHASE SHAKE SHACK 1109       BROOKLYN","5.39","debit","Fast Food","Student Checking","",""
"11/14/2014","Happy Day Diner","DEBIT PURCHASE HAPPY DAY'S DINER      BROOKLYN","10.00","debit","Restaurants","Student Checking","",""
"11/14/2014","Cozy Soup and Burger","DEBIT PURCHASE COZY SOUP AND BURGER   NEW YORK","5.45","debit","Fast Food","Student Checking","","milkshake"
"11/13/2014","Mobile Deposit","MOBILE DEPOSIT","364.07","credit","Income","Student Checking","","shirt socks underwear deodorant milk CCM"
"11/13/2014","Duane Reade","DEBIT PURCHASE DUANE READE #14224     NEW YORK","5.43","debit","Personal Care","Student Checking","Reimbursable","deodorant"
"11/12/2014","Bodega","DEBIT PIN PURCHASE BROOKLYN FINEST DELI   BROOKLYN","5.00","debit","Fast Food","Student Checking","",""
"11/12/2014","ATM Deposit","ATM DEPOSIT","60.00","credit","Income","Student Checking","",""
"11/12/2014","Pin Uniqlo Soho","DEBIT PIN PURCHASE UNIQLO SOHO US0030     NEW YORK","32.25","debit","Clothing","Student Checking","Reimbursable","socks shirt underwear"
"11/12/2014","Dunkin Donuts","DEBIT PURCHASE DUNKIN #344936     Q35 NEW YORK","5.95","debit","Coffee Shops","Student Checking","",""
"11/12/2014","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","100.00","credit","Transfer","Student Checking","",""
"11/12/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","300.00","debit","Transfer","Student Checking","",""
"11/07/2014","Dunkin Donuts","DEBIT PURCHASE DUNKIN #350503     Q35 BROOKLYN","3.03","debit","Coffee Shops","Student Checking","",""
"11/07/2014","Dunkin Donuts","DEBIT PURCHASE DUNKIN #350503     Q35 BROOKLYN","3.90","debit","Coffee Shops","Student Checking","",""
"11/07/2014","Duane Reade","DEBIT PIN PURCHASE Duane Reade 1111 3RD AVNEW YORK","11.48","debit","Alcohol & Bars","Student Checking","","beer"
"11/06/2014","Shake Shack","DEBIT PURCHASE SHAKE SHACK 1109       BROOKLYN","5.39","debit","Fast Food","Student Checking","","shake shack"
"11/04/2014","Bodega","DEBIT PIN PURCHASE BROOKLYN FINEST DELI   BROOKLYN","6.00","debit","Fast Food","Student Checking","Reimbursable","chicken sandwich and nesquik from bodega"
"11/04/2014","Mamma Mia Pizza","DEBIT PURCHASE MAMMA MIA PIZZA - BROO BROOKLYN","3.81","debit","Restaurants","Student Checking","",""
"11/04/2014","Chipotle","DEBIT PURCHASE CHIPOTLE 0590          NEW YORK","18.75","debit","Fast Food","Student Checking","",""
"11/03/2014","ATM Deposit","ATM DEPOSIT","101.00","credit","Income","Student Checking","",""
"11/03/2014","T-Mobile","DEBIT PIN PURCHASE T MOBILE NO 8056       BROOKLYN","10.88","debit","Mobile Phone","Student Checking","",""
"10/31/2014","Nycct Tuition Fees","DEBIT PURCHASE NYCCT TUITION/ FEES/BU BROOKLYN","7.00","debit","Tuition","Student Checking","Reimbursable",""
"10/31/2014","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","500.00","debit","Transfer","Student Checking","",""
"10/31/2014","ATM Deposit","ATM DEPOSIT","20.00","credit","Income","Student Checking","","from mom"
"10/30/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","1500.00","debit","Transfer","Student Checking","",""
"10/30/2014","Ruchi Indian Cuisine","DEBIT PURCHASE RUCHI INDIAN CUISINE   NEW YORK","29.50","debit","Restaurants","Student Checking","",""
"10/30/2014","Transfer to Day-to-Day Savings","TRANSFER TO SAVINGS","500.00","debit","Transfer","Student Checking","",""
"10/29/2014","ATM Deposit","ATM DEPOSIT","20.00","credit","Income","Student Checking","",""
"10/29/2014","Venmo Auth Bank","ACH Electronic Credit VENMO            AUTH BANK","0.03","credit","Income","Student Checking","",""
"10/29/2014","Other Decrease Venmo","OTHER DECREASE VENMO            AUTH BANK","0.03","debit","Financial","Student Checking","","repaid"
"10/27/2014","ATM Deposit","ATM DEPOSIT","920.00","credit","Hide from Budgets & Trends","Student Checking","",""
"10/27/2014","ATM Deposit","ATM DEPOSIT","1080.00","credit","Hide from Budgets & Trends","Student Checking","",""
"10/27/2014","ATM Deposit","ATM DEPOSIT","270.00","credit","Hide from Budgets & Trends","Student Checking","",""
"10/27/2014","ATM Deposit","ATM DEPOSIT","680.00","credit","Hide from Budgets & Trends","Student Checking","",""
"10/27/2014","ATM Deposit","ATM DEPOSIT","10.00","credit","Income","Student Checking","",""
"10/27/2014","ATM Deposit","ATM DEPOSIT","85.00","credit","Income","Student Checking","",""
